Binomial name,Motility,Gram staining,Aerophilicity,Extreme environment tolerance,Biofilm formation,Animal pathogenicity,Biosafety level,Health association,Host association,Plant pathogenicity,Spore formation,Hemolysis,Cell shape
Streptomyces djakartensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Streptomyces geysiriensis,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Streptomyces griseochromogenes,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces minutiscleroticus,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Streptomyces mirabilis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces niveoruber,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Streptomyces omiyaensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces poonensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces rishiriensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces showdoensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces spectabilis,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces torulosus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces tricolor,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces tuirus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces zaomyceticus,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Borreliella yangtzensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Erwinia aphidicola,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Candidimonas nitroreducens,,gram stain negative,"facultatively anaerobic, aerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Yersinia nurmii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Bartonella callosciuri,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Micromonospora haikouensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Gordonia humi,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Enterobacter cancerogenus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Lelliottia nimipressuralis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Erwinia psidii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Aquamicrobium defluvii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Vibrio nereis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Vibrio atlanticus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Microbacterium arabinogalactanolyticum,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Microbacterium flavescens,,gram stain negative,"facultatively anaerobic, aerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Microbacterium luteolum,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Microbacterium saperdae,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Microbacterium trichothecenolyticum,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Moritella yayanosii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Macrococcus caseolyticus,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Mesorhizobium plurifarium,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Amycolatopsis roodepoortensis,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Mycobacterium marseillense,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Mycobacterium timonense,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Staphylococcus condimenti,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,coccus
Staphylococcus piscifermentans,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,coccus
Actinomadura darangshiensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Pseudomonas plecoglossicida,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Bradyrhizobium nitroreducens,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Nonomuraea endophytica,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Mesorhizobium amorphae,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Enterococcus raffinosus,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Hoeflea halophila,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Alteromonas naphthalenivorans,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Kocuria rhizophila,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Bradyrhizobium lablabi,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Mycobacterium shigaense,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Bacillus vallismortis,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Achromobacter piechaudii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Achromobacter ruhlandii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Pseudarthrobacter equi,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Chryseobacterium oncorhynchi,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Xanthomonas dyei,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Micromonospora humi,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Staphylococcus coagulans,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,coccus
Pseudomonas libanensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Castellaniella defragrans,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Rodentibacter pneumotropicus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Nocardiopsis flavescens,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Mycolicibacterium tusciae,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Mycobacterium europaeum,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Cytobacillus eiseniae,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Sinorhizobium kostiense,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Pseudomonas monteilii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Pseudomonas rhodesiae,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Pseudomonas veronii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Mycobacterium paraense,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Solibacillus silvestris,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Streptococcus constellatus,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Sphingobium herbicidovorans,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Pseudomonas jessenii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Pseudoalteromonas distincta,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Rickettsia rickettsii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Pseudomonas mosselii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Bifidobacterium boum,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Bifidobacterium pullorum,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Pseudomonas migulae,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Bartonella quintana,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Herbaspirillum rubrisubalbicans,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Moritella viscosa,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Delftia acidovorans,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Paracidovorax avenae,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Paracidovorax cattleyae,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Paracidovorax citrulli,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Acidovorax temperans,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Pseudoalteromonas elyakovii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Parageobacillus caldoxylosilyticus,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Photobacterium indicum,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Bacteroides thetaiotaomicron,,gram stain negative,"facultatively anaerobic, aerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Vagococcus lutrae,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Bacteroides uniformis,,gram stain negative,"facultatively anaerobic, aerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptococcus pluranimalium,,gram stain positive,"anaerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Microbacterium oxydans,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Cupriavidus pauculus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Trichococcus flocculiformis,,gram stain negative,"facultatively anaerobic, aerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Obesumbacterium proteus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Serratia grimesii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Aminobacter aminovorans,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Aminobacter aganoensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Aminobacter niigataensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces althioticus,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Bradyrhizobium commune,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Leclercia adecarboxylata,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces tsukubensis,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Oceanimonas doudoroffii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Microbacterium chocolatum,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Halochromatium glycolicum,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Acetobacter sicerae,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Rothia nasimurium,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces turgidiscabies,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Nocardia cerradoensis,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Bradyrhizobium arachidis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Cytobacillus gottheilii,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Microbulbifer elongatus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Pseudomonas lundensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Xanthomonas cissicola,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Pseudomonas thivervalensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Herbaspirillum huttiense,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Priestia flexa,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Halalkalibacterium halodurans,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Borreliella sinica,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Rhodopseudomonas rhenobacensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Xenorhabdus khoisanae,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Pseudomonas deceptionensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Parageobacillus galactosidasius,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Promicromonospora sukumoe,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,TRUE,,bacillus
Williamsia phyllosphaerae,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
